,LACUP<-1,cyoABCD<-!Fnr,cyoABCD<-!ArcA,dcuC<-Fnr,dcuC<-ArcA,focA<-Fnr,focA<-ArcA,fumA<-!Fnr,fumA<-!ArcA,galE<-!GLCxt_b+!GalS,galE<-!GLCxt_b+!GalR,galK<-!GLCxt_b+!GalS,galK<-!GLCxt_b+!GalR,galM<-!GLCxt_b+!GalS,galM<-!GLCxt_b+!GalR,galT<-!GLCxt_b+!GalS,galT<-!GLCxt_b+!GalR,pflAB<-Fnr,pflAB<-ArcA,pflCD<-Fnr,pflCD<-ArcA,ptsGHI<-!Mlc,ptsGHI<-LCTSxt_b,sdhABCD<-!Fnr,sdhABCD<-!ArcA,LACUP<-!LCTSxt_b,LACUP<-!GLCxt_b,LACUP<-!GLCxt_b+!LCTSxt_b
pflCD<-ArcA,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,,50.0,50.0,50.0,50.0,50.0,50.0,50.0
ptsGHI<-!Mlc,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,0.0,50.0,50.0,50.0,50.0,50.0
ptsGHI<-LCTSxt_b,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,,50.0,50.0,50.0,50.0,50.0
sdhABCD<-!Fnr,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,0.0,50.0,50.0,50.0
sdhABCD<-!ArcA,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,,50.0,50.0,50.0
LACUP<-!LCTSxt_b,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,50.0,0.0
LACUP<-!GLCxt_b,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,50.0,,0.0
LACUP<-!GLCxt_b+!LCTSxt_b,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,
nb_BN_with_it,4096.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,8192.0,8192.0,4096.0
Percentage of the total number of BN,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.2
