,FadR<-GLCxt_b,GalR<-!LCTSxt_b,galK<-!GLCxt_b & !GalR,pgk<-ACxt_b,ptsGHI<-ACxt_b,sucAB<-!PdhR,ArcA<-!O2xt_b,galP<-ACxt_b,aceA<-!IclR,adhE<-!O2xt_b,FadR<-!ACxt_b,fumA<-!ArcA,acnA<-ACxt_b,galK<-!GLCxt_b & !GalS,aceEF<-!PdhR,DcuS<-SUCCxt_b,lacZ<-!GLCxt_b & !Lacl,dcuC<-ArcA,galT<-!GLCxt_b & !GalR,mdh<-!ArcA,fumA<-!Fnr,Cra<-!SurplusFDP,galE<-!GLCxt_b & !GalS,sdhABCD<-!ArcA,lpdA<-!PdhR,cyoABCD<-!Fnr,sdhABCD<-!Fnr,GalS<-!LCTSxt_b,pgk<-LCTSxt_b,ptsGHI<-LCTSxt_b,cyoABCD<-!ArcA,pykF<-!Cra,acnB<-ACxt_b,adhE<-!Cra,DcuR<-DcuS,rbsABCD<-!RbsR,fdnGHI<-Fnr,fumB<-Fnr,Fnr<-!O2xt_b,focA<-Fnr,galT<-!GLCxt_b & !GalS,pflCD<-Fnr,galM<-!GLCxt_b & !GalS,dctA<-!ArcA & !GLCxt_b & !LACxt_b & !LCTSxt_b,LACUP<-!GLCxt_b & !LCTSxt_b,dcuC<-Fnr,galP<-LCTSxt_b,galE<-!GLCxt_b & !GalR,LACUP<-!LCTSxt_b,pflAB<-ArcA,glpD<-!GlpR,acnB<-LCTSxt_b,rbsK<-!RbsR,glpABC<-!GlpR,LACUP<-!GLCxt_b,frdABCD<-Fnr,acs<-!ETHxt_b & !IclR & !LACxt_b & !LCTSxt_b,glpK<-!GlpR,acnA<-LCTSxt_b,Mlc<-!GLCxt_b,pflCD<-ArcA,ndh<-!Fnr,ptsGHI<-!Mlc,ppsA<-Cra,rpiB<-!RpiR,aceB<-!ArcA & !IclR,galM<-!GLCxt_b & !GalR,IclR<-FadR,pflAB<-Fnr,dcuB<-DcuR,glpF<-!GlpR,focA<-ArcA,PdhR<-!SurplusPYR,Lacl<-!LCTSxt_b
Mlc,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
PdhR,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
aceA,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
aceB,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
aceEF,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
acnA,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
acnB,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
acs,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
adhE,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
cyoABCD,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
dctA,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
dcuB,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
dcuC,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
fdnGHI,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
focA,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
frdABCD,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
fumA,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
fumB,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
galE,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
galK,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
galM,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
galP,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
galT,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
glpABC,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
glpD,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
glpF,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
glpK,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
lacZ,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
lpdA,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
mdh,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
ndh,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
pflAB,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
pflCD,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
pgk,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
ppsA,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
ptsGHI,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
pykF,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
rbsABCD,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
rbsK,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
rpiB,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
sdhABCD,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
sucAB,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,20,50,100,50,40,50,100,100,100,100,40,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
LACUP,100,100,50,100,100,100,100,100,100,100,100,50,100,50,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,25,50,100,50,50,50,100,100,100,100,50,100,100,100,100,100,50,100,50,100,100,100,50,100,50,100,100,50,100,100
